City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
250,rabaul,-4.1967,152.1721,84.9,74,99,12.91,PG,1707110078
251,remire-montjoly,4.9167,-52.2667,77.04,100,75,2.3,GF,1707110079
252,cill airne,52.05,-9.5167,49.95,84,94,10.4,IE,1707110079
253,egilsstadir,65.2653,-14.3948,4.77,99,86,4.14,IS,1707110079
254,touros,-5.1989,-35.4608,80.65,79,20,11.63,BR,1707110080
255,taoudenni,22.6783,-3.9836,56.59,27,48,10.27,ML,1707110080
256,yatou,37.15,122.3833,30.9,95,100,18.28,CN,1707110080
257,denison,33.7557,-96.5367,50.97,91,100,18.41,US,1707110080
258,samana,19.2056,-69.3369,75.63,87,13,12.35,DO,1707110080
259,santo antonio do ica,-3.1022,-67.9397,73.69,98,100,2.17,BR,1707110081
260,anna regina,7.2644,-58.5077,78.82,88,40,9.48,GY,1707110081
261,konarka,19.9,86.1167,81.0,59,0,7.83,IN,1707110081
262,buka,40.8108,69.1986,40.28,52,100,0.58,UZ,1707110082
263,isafjordur,66.0755,-23.124,23.54,82,100,21.52,IS,1707110083
264,motueka,-41.1333,173.0167,72.72,53,0,4.88,NZ,1707110083
265,kokopo,-4.352,152.2633,84.09,78,100,10.18,PG,1707110083
266,hastings,50.8552,0.5729,48.4,39,90,22.1,GB,1707110084
267,san bernardo del viento,9.3533,-75.9524,81.18,77,93,3.04,CO,1707110084
268,shalkar,47.8288,59.6258,33.62,99,100,13.82,KZ,1707110084
269,amga,60.8953,131.9608,-15.92,96,99,0.51,RU,1707110085
270,ust-tsilma,65.441,52.1498,-18.38,99,25,3.0,RU,1707110085
271,adamovka,51.5223,59.9396,32.09,92,100,25.86,RU,1707110085
272,dinuba,36.5433,-119.3871,56.95,95,100,5.01,US,1707110086
273,sao tome,0.3365,6.7273,81.28,80,66,7.09,ST,1707110086
274,kapuskasing,49.4169,-82.4331,19.49,93,0,2.3,CA,1707110087
275,mountain home,43.133,-115.6912,44.42,58,75,25.32,US,1707110014
276,pyin oo lwin,22.0333,96.4667,72.66,34,0,5.1,MM,1707110087
277,soroti,1.7146,33.6111,70.75,73,51,2.57,UG,1707110087
278,san marcos,33.1434,-117.1661,60.08,71,100,14.97,US,1707110088
279,sao bento,-6.2833,-37.75,73.81,67,15,7.11,BR,1707110088
280,suntar,62.1444,117.6319,-3.39,88,100,2.93,RU,1707110088
281,villamontes,-21.25,-63.5,81.01,45,63,2.35,BO,1707110089
282,greymouth,-42.4667,171.2,66.22,71,2,6.02,NZ,1707110089
283,el bauga,18.262,33.9081,57.74,32,81,12.8,SD,1707110089
284,carnarvon,-24.8667,113.6333,83.73,44,17,20.29,AU,1707110089
285,perry,37.2506,-83.1999,45.32,83,100,4.32,US,1707110090
286,puerto leguizamo,-0.1934,-74.7819,72.9,99,100,2.44,CO,1707110090
287,alice springs,-23.7,133.8833,109.22,11,0,10.36,AU,1707110090
288,de aar,-30.6497,24.0123,71.29,34,2,0.87,ZA,1707110090
289,pacific grove,36.6177,-121.9166,55.78,84,100,11.01,US,1707110091
290,talara,-4.5772,-81.2719,76.82,81,91,5.17,PE,1707110091
291,xai-xai,-25.0519,33.6442,77.7,83,42,2.28,MZ,1707110091
292,viedma,-40.8135,-62.9967,68.32,65,23,15.5,AR,1707110091
293,iskateley,67.6803,53.1512,-8.99,93,95,4.0,RU,1707110091
294,paranhos,-23.8928,-55.4311,75.65,57,86,5.97,BR,1707110092
295,nan,18.8333,100.6667,89.64,18,0,2.64,TH,1707110092
296,kangal,39.2335,37.3911,28.67,91,99,5.77,TR,1707110092
297,kingston,17.997,-76.7936,77.23,96,37,1.01,JM,1707109631
298,vorgashor,67.5833,63.95,0.14,97,100,4.34,RU,1707110093
299,linhares,-19.3911,-40.0722,72.03,94,97,2.71,BR,1707109822
300,pasni,25.2631,63.471,70.16,43,25,8.75,PK,1707110093
301,ciutadella,40.0011,3.8414,50.81,75,11,5.66,ES,1707110094
302,bria,6.5423,21.9863,66.88,31,28,3.78,CF,1707110094
303,srinagar,34.0833,74.8167,32.25,83,69,1.19,IN,1707110094
304,sao joao da barra,-21.6403,-41.0511,75.83,93,100,7.78,BR,1707109828
305,turiacu,-1.6633,-45.3717,75.76,95,54,4.18,BR,1707110095
306,gadani,25.1185,66.7299,66.42,60,14,3.65,PK,1707110095
307,galappo,-4.2667,35.85,65.46,85,89,0.87,TZ,1707110095
308,nizhnesortymskiy,62.4397,71.7603,-8.0,100,98,5.59,RU,1707110095
309,mount isa,-20.7333,139.5,96.57,38,40,12.66,AU,1707110096
310,tsiombe,-25.3,45.4833,79.38,73,76,4.79,MG,1707110096
311,usinsk,65.9939,57.5281,-20.92,100,72,3.0,RU,1707110096
312,senanga,-16.1167,23.2667,69.24,81,100,2.44,ZM,1707110097
313,norilsk,69.3535,88.2027,1.42,93,100,8.59,RU,1707110097
314,wau,7.7029,27.9953,73.26,21,74,5.06,SS,1707110097
315,hatillo,18.4863,-66.8254,78.39,91,2,1.99,PR,1707110098
316,fomboni,-12.28,43.7425,83.77,74,58,5.59,KM,1707110098
317,punta arenas,-53.15,-70.9167,48.31,87,40,21.85,CL,1707110098
318,houston,29.7633,-95.3633,57.97,76,40,12.66,US,1707109353
319,bani walid,31.7566,13.9942,49.95,69,0,4.68,LY,1707110099
320,massawa,15.6097,39.45,75.31,70,91,8.39,ER,1707110100
321,chinchilla,-26.75,150.6333,92.01,43,61,4.0,AU,1707110101
322,jinxiang,27.4327,120.6062,52.27,82,99,8.05,CN,1707110101
323,verkhniy baskunchak,48.2256,46.7217,35.42,89,100,13.33,RU,1707110101
324,beaufort west,-32.3567,22.583,76.41,48,2,2.13,ZA,1707110102
325,gunnison,38.7,-107.0673,11.91,92,28,2.28,US,1707110102
326,manay,7.215,126.5397,83.84,70,66,12.26,PH,1707110103
327,monte patria,-30.6919,-70.9467,70.48,68,85,2.17,CL,1707110103
328,imperatriz,-5.5264,-47.4917,75.25,94,20,2.3,BR,1707110103
329,lensk,60.7253,114.9278,7.54,90,100,4.74,RU,1707110104
330,kailua-kona,19.6406,-155.9956,75.16,81,20,6.91,US,1707109957
331,nieuw nickerie,5.95,-56.9833,79.0,89,100,12.3,SR,1707110104
332,ulsteinvik,62.3432,5.8487,35.76,83,100,10.0,NO,1707110105
333,pisco,-13.7,-76.2167,77.05,73,0,5.75,PE,1707110105
334,barra de santo antonio,-9.4047,-35.5072,78.08,80,6,6.89,BR,1707110105
335,mejit,10.2753,170.8646,79.32,83,61,18.32,MH,1707110106
336,ad darbasiyah,37.0728,40.652,41.4,93,100,4.61,SY,1707110106
337,kenora,49.8167,-94.4337,32.97,100,100,2.3,CA,1707109990
338,la passe,45.5549,-0.8967,43.99,89,74,2.77,FR,1707110106
339,meadow lakes,61.6247,-149.6011,16.63,86,75,0.0,US,1707110107
340,new norfolk,-42.7826,147.0587,71.1,38,25,9.78,AU,1707110107
341,tazovsky,67.4667,78.7,4.12,95,100,9.33,RU,1707110107
342,veraval,20.9,70.3667,78.42,65,2,8.34,IN,1707110107
343,palopo,-2.9996,120.1921,83.82,75,100,3.96,ID,1707110108
344,bikenibeu village,1.3673,173.1241,85.96,84,75,6.91,KI,1707110108
345,mutoko,-17.397,32.2268,66.15,84,12,2.19,ZW,1707110108
346,rio grande,-32.035,-52.0986,73.0,85,81,12.46,BR,1707110109
347,thompson,55.7435,-97.8558,19.56,93,100,2.3,CA,1707110109
348,san luis de la loma,17.2706,-100.8939,73.09,64,0,7.14,MX,1707110109
349,berbera,10.4396,45.0143,77.02,70,15,2.37,SO,1707110109
350,tefe,-3.3542,-64.7114,72.93,98,100,2.28,BR,1707110110
351,selfoss,63.9331,-20.9971,10.04,80,100,10.67,IS,1707110110
352,al bawiti,28.3492,28.8659,46.35,65,2,3.94,EG,1707110110
353,ouesso,1.6136,16.0517,70.07,38,73,2.66,CG,1707110110
354,ha'il,27.5219,41.6907,46.42,49,0,4.61,SA,1707110111
355,kone,-21.0595,164.8658,80.71,86,100,6.38,NC,1707110112
356,puerto baquerizo moreno,-0.9,-89.6,77.29,78,42,10.25,EC,1707110112
357,volkhov,59.9258,32.3382,18.32,98,100,3.69,RU,1707110100
358,tadmur,34.5608,38.2805,46.69,81,60,2.24,SY,1707110113
359,yur'yevets,57.3201,43.1041,-4.54,100,100,3.96,RU,1707110113
360,el calafate,-50.3408,-72.2768,50.79,71,27,23.69,AR,1707110113
361,colonel hill,22.7667,-74.2167,76.96,76,84,18.03,BS,1707109886
362,marquette,46.5333,-87.6335,30.78,98,2,5.7,US,1707110114
